tag,comments
Misandry,தாயோளி மகனே. உனக்கு மட்டும்தான் வருமா? நானும் பாப்பான்தாண்டா. எனக்கும் வருண்டா. போதுமா ? கண்டாரோளி மவனே
Misandry,எச்ச பு....ட ராஜா..மதவெறியை தூண்டாதே.....
None-of-the-above,அன்று இறந்த ரஞ்சன் க்கு இன்று நியாயம் கிடைக்கும் என நம்புவோம்.
None-of-the-above,life experience  வாங்க நம்ம செய்யலாம்
Misandry,போடா எச்சகல ராஜா நீயே ஒரு பண்டாரம் பரதேசி நீயெல்லாம் பேசுர இன்னுமா உண்ண விட்டு வச்சிருக்காங்க.
None-of-the-above,அரசியல் கலக்காமல் இவ்விடயத்தை இதுவரை யாரும் பேச வில்லை இவரையும் சேர்த்துத்தான்
Counter-speech,எல்லா சமுதாயத்திலும்  நல்லவர்களும் உள்ளனர் கெட்டவர்களும்( சுயநலவாதிகள்) உள்ளனர். சுயநலவாதிகளை நாம் கண்டறிய வேண்டும்.
Misogyny,லாடீஸ் ஸப்போட் பண்லண்ணா ராட் ஏத்திருவாளுங்க.. இவன் எப்பவுமே ஒன்ஸைட் ஆம்லட்..
None-of-the-above,ஜாதிக்கும் ஹிந்து சமயத்திற்க்கும் சம்பந்தம் இல்லை. தெரிஞ்சுங்கடா.
Misandry,ராச சு ஊம்பு மன்னிப்பு கேட்க முடியாது ஆக்ஸ்போர்டு டிக்ஸ்னரிய பாருடா புண்ட தேவிடியா என்னனு கூறியிருக்கு.
None-of-the-above,நேர்மையான மனிதர் ஆனந்த் சீனிவாசன் போன்றவர்களுக்கு   மதுவந்தி  ஒரு  மிகப்பெரிய இழுக்கு...
Misandry,டேய் எச்ச ராஜா .. அது என்ன எப்ப பாத்தாலும் முஸ்லீம் பீ**யவே திணற ..; உன்னோட கருத்த சுயமா சொல்ல கூட உனக்கு தெம்பு இல்லையா !!
None-of-the-above,இவர் பேட்டியில் மதுவந்தியை ஆதரிப்பவர்கள் BJP ஆட்கள்தான்
Misandry,சொம்பு தூக்கி கோபி அவர்களே.. யாராவது தெளிவா பேச முடியாதவன் சிக்குனா வச்சி செஞ்சிருவீங்க... த்தூ...
Misandry,Guru murthi  நீ தான்டா  எல்லாத்தையும் விட கேடுகெட்ட சாணாக்கூதி.............. மகன். பாஜக போடுற பிச்சைகாசுக்கு ங்கோத்தா பொண்டாட்டி தங்கச்சியை கூட்டி கொடுக்கிற தேவுடியா பயலே......... குடும்பத்தோடு குண்டி காட்டுற நாதாரி பயலே செத்துருடா பன்னாட பரதேசி பயலே........
None-of-the-above,Sathiya Raj  ரொம்ப தப்பு தான் ... அப்ப நீங்க அவங்கள; Control பன்றது சரி
Hope-Speech,திரு ஆனந்த சீனிவாசன் அவர்களின் சரியான பேச்சு நடுநிலையான பேச்சு
None-of-the-above,இந்தாலையே oru நாயி கூட மதிக்கிறது இல்ல..இவரு பிராமணர்களை பத்தி பேசுறாரு. இவரு பிராமணன் அப்படின்னு சொள்ளுவதனால் இவர் எண்ணைக்கவரு சரியா மூன்று நேரம் சந்தியா வந்தன் மாடியானம் போன்றவை பண்ணிருக்காரா. போவியா..பிரமனர்களுக்கு கேவலம் இவன மாதிரி ஆளுக தான்
Misandry,எந்த பேச்சை எதுகூட முடிச்சி போடுறான் பாருங்க எச்சச்சோறு நாயி?
None-of-the-above,எச்சப்பொறிக்கி சொல்றான் நல்லகுடும்பத்தில் பிறந்தவர்கள் இப்படி பேசுவார்களா?என்று கேட்டுக்கொண்டே தரம்கெட்ட வார்த்தைகளை பயன்படுத்தும் போது இவன் எந்த குடும்பத்தில் பிறந்திருப்பான்?
Xenophobia,Mani Maran ; இந்தியாவிலேயே மிக மோசமானவர்கள் பீகாரிகள்!! பெரும்பாலானவர்கள் பயங்கர ஆயுதங்களை தாங்களே தயாரிக்கும் கொள்ளையர்கள்
None-of-the-above,இந்துக்களுக்கும் இந்தியர்களும் மிகவும் நல்லவர்கள் தான் இஸ்லாமியர் கிறிஸ்துவர்கள் என்ற பேதம் பாராமல் 40 50 ஆண்டுகள் ஒற்றுமையாக வாழ்ந்து வந்தவர்கள் தான் ஆனால் இந்தப் பாசிச பார்ப்பனர்கள் செய்யும் அநியாயத்திற்கும் வாய் கூற்றுக்கும் கொஞ்சம் கூட இரக்கம் இல்லாமல் போய்விட்டது இறைவன் தான் இதற்கு ஒரு பதில் கூற வேண்டும் தமிழகத்தில் என்றுமே பாஜக ஆட்சி மலர போவதில்லை எச்.ராஜா போன்றவர்கள் இப்படி பேசுவதுதான் காரணம்
None-of-the-above,அருமையான பதிவு!! கேள்விகள் மற்றும் ஆனந்த சீனிவாசன் அவர்களின் வெளிபடையான நியாயமான நடுநிலை பதில்கள்! கலக்குங்க 😎 bro!!🙏
None-of-the-above,உங்களை நான் ஒரு ஞானமுள்ள மனிதராக நல்ல பொருளாதார ஆசானாக காண்கிறேன்.  இப்போது உங்கள் மீது பெரும் மதிப்பு கூடுகிறது.   அருமை அருமை உண்மையை உரக்க சொல்லுங்க
None-of-the-above,இரண்டுக்கு transprant ...super
None-of-the-above,ஆனந்த சொல்வது போல் அதிகமா உள்ளது அவா ஆத்து பொண்ணு தான
Misandry,H .raja செருப்பால் அடி
None-of-the-above,அயோக்கியத்தனமாக நடந்த ஆசிரியர் மீது தெரிந்தும் நடவடிக்கை எடுக்காத இந்தப் பள்ளி நிர்வாகமும் தண்டனைக்குரியது. இப்பள்ளி பிரமாணர் சமூகத்திற்கும் பாத்திய பட்டதல்ல.  சொந்தமானதுமல்ல.  மதுவந்தி முதிலியவர்கள் பிராமணர்களுக்கும் அவமானத்தை ஏற்படுத்துகின்ற னர்.
Counter-speech,வரதட்சணை வேண்டாமென்றால் மாப்பிள்ளை பையனுக்கு என்ன குறையோ என்று கேட்கும் பெண் வீட்டாரும் இச்சமூகத்தில் உள்ளனர் என்பதை மறுக்கவியலாது.
Misandry,அதில நிறய பெண்களுக்கு கோர்ட் எதுன்னு கூட தெரியாது ஆனா அவர்களின் கணவர்களின் முழு முயர்ச்சியால இந்த சாதனைகளை செய்கிறார்கள். அவர்கள் கணவர்கள் நினைத்திருந்தால் வரதட்சணை வேண்டாம் என்றும் சொல்லிருக்க முடியும் கேஸ் போட வேண்டாம் நான் உன்னை பாத்துக்குறேன்னு சொல்லிருக்க முடியும் ஆனால் முடியாதே ஏன்னா அவர் தன் தங்கை வீட்டுகாரிடம் தோற்று போயிருப்பார்ல
None-of-the-above,ஜெயலலிதா அவர்கள் அதிகார துஸ்பிரயோகம் செய்துள்ளார்.
Misandry,Prabhu G  எனக்கு தெ ரிஞ்ச வீட்ல உன்ன மாதிரி மாென்னா கூ.......கு பாெண்ணு தர சாெல்ல நா என்ன மாெ ன்னா கூ......யா.
None-of-the-above,ஆமாடா மதம் மாத்துரவன்லாம் தமிழ்மொழிய காப்பாத்துவான் போங்கடா😃😃
None-of-the-above,திமுகவில் ஓருவன் குற்றம் செய்தால் திமுகவை கலைத்து விடலாமா..... ஈழ தமிழர்களை கொன்று குவித்த கட்சியை சேர்ந்தவன் இவன்.....
Misandry,உன் ஆத்தாள பெத்தது யாருடா எச்ச பய ராஜா ...தேவடிப்பயலே...காசி வாங்கி பேசி பேசியே வேசியானவன் நீதான்டா...தாசிக்கும் வேசிக்கும் பிறந்த ஒரு ஈனப்பிறவிதானடா நீ...எம் தமிழ் தாய் பெற்றெடுத்த தங்கமகனை விரட்டி
Misandry,எச்சை நீ என்ன முக்குனாலும் தமிழ்நாட்ல முடியாது....; வாய்ப்பில்ல ராசா...!
Misandry,நீ திருவாரூர் மாவட்டம்  வந்து பேசுடா தேவுடியா மகனே
None-of-the-above,anna. உங்கள்கேள்வி பதில் அனைத்தும்சூப்பர் நிஜ வாழ்க்கையில் நடப்பது போலவே பேசுகிறீர்கள்👌👌👌👌👌👌👌🤫
Misandry,இவன் கிறுக்கு பயல இருப்பானா லூசு எச்ச நாயே மேடையில் மரியாதையா பேசுங்கடி கேனப்----
Misogyny,தன் மதத்தை மற்ற கிறிஸ்தவ நாய்களிடம் கூட்டிக் கொடுத்தவன் ஒன்றுதான் அவன் வீட்டு பெண்களை கூட்டி கொடுப்பதும் ஒன்றுதான்
Misandry,போடா புண்ணாக்கு பு........
Misandry,ராசா... நீயும் தேவுடியா 👱மாதிரியே பேசுறடா... ; உன் ஆத்தா போன் நம்பர் கொடு.. இல்ல உன் பொண்டாட்டி போன் நம்பர் கொடு.. ரேட் எவ்வளவு.. ன்னு கேட்டுக்கிறேன்
None-of-the-above,இப்ப மட்டும் தலித்துக்களை இந்துக்கள் என்று சொல்வாய்.சாதி மறுப்பு திருமணம் செய்தால் ஆள வெட்டு கை ய வெட்டு.போங்கடலே.சீமான் நீ இருக்கும் வரை இந்த நாடு உறுப்புடாது
None-of-the-above,உனக்கு இஸ்லாமியனை இழுக்குலன்னா பொழப்பு ஓடாது
Misandry,டேய்  யாரு நி உனக்கு  கொஞ்சம்   ஆவது idu iruka poda punda
None-of-the-above,Gunasekaran M  நீ இந்து ....{..  நல்ல ஆன்மீகம்
None-of-the-above,0:57 ஆ ஆ பொய் பொய் 🤭🤭🤭🤣🤣🤣🤣
None-of-the-above,குழந்தை களுக்கு ஏதுசாதி
Counter-speech,ஆணந் சார் விரி வான விலக்கம் கொடுத்தீர்கள்  நன்றி இதை ஜாதி பிரச்சினை யாக்க நினைத்த  ஜென்மங்களுக்கு சரி யான பதில் அந்த பள்ளியில் என்உடன்பிறவாத பிராமண பிள்ளைகள் பாதிக்கப்பட்டுள்னர் அதுவும்என் பிள்ளைகளாதாள்  தயவு செய்து  ஜாதி மத   வேறுபாடு வேண்டாம்   வேறுபடுத்தி பேசுபவன் மனிதன் இல்லை  மிருகம்
Counter-speech,எதையுமே முளையிலேயே கிள்ளி எறியணும்.மரமானா கோடலி ரம்பம் போட்டுதான் வெட்டி எறியணும். ; .
Misandry,கரு.நீ பெரியார் கருவா ?
None-of-the-above,டேய் கோமியம் ; அவ்வளவுதான் நான் அப்பவே சொல்லல
Xenophobia,வந்தேறி நாய்களை வாழவைத்த தமிழனுக்கு வந்த நேரம் தான் இது.; கண்ட நாய்களை முக்கியமாய் வந்தேறி நாய்களை பார்ப்பனர் பிண்டங்களை தமிழன் மீது சவாரி செய்ய இனியும் அனுமதிக்கக்கூடாது. சரி நான் இந்து அல்ல.  நான் சைவ தமிழன்.
Misandry,கொராணாவால் ஒட்டு மொத்த தமிழக மக்களும் #தாழ்த்தபட்ட மக்களாகிவிட்டோம் - சீமான்.;  ..; ; மக்கள் இவனை செருப்பால அடிக்குர வரைக்கும் இந்த வீடியோவை Share பன்னுங்க தோழர்களே ..
Misandry,ஏண்டா  வெண்ண மகனே  தமிழ்நாட்ல. உனக்கு  எல்லாத்துக்கும்  கீல செரச்சு விட்றவேலையாடா நாயி.
None-of-the-above,நீங்கள் சொல்வது எல்லாம்  உண்மை
None-of-the-above,தன்னை பற்றிய உண்மையை உளரிய எச்ச குஜா
None-of-the-above,எச்ச ராஜா எவன்டயாவது செருப்படி வாங்க போர
None-of-the-above,ஜாதி வேண்டாம் ஜாதி சலுகைகள் மட்டும் வேண்டும்
None-of-the-above,பெரும் பணக்காரனுங்க நடத்தும் பள்ளியின் குற்றங்களுக்கு வேலை செய்யாத சட்டம்
Misandry,புண்டை மவனே நபிகள் பத்தி உனக்கு என்ன டா தெரியும்
Hope-Speech,rajkumar rajkumar  அப்பவே இந்த இந்த உலகத்தை பத்தி புறிஞ்சிருப்பீங்களே அக்கா. கடவுள் வேற யாருக்காகவும் நம்மள பிறக்க வெக்கல. நம்மளை நம்ம தான் பாத்துக்கணும். தைரியத்தை விடாதீங்க அக்கா...
None-of-the-above,வைரம் பாய்ந்த முத்து.
None-of-the-above,பிரமின்ஸ் & பெரியாரிஸ்ட் இந்த இரு நாய்களையும் ஒளிதால் தான் சமூக பிரச்சினை தீரும்
Misandry,எச் ராஜா தேவிடியா மவன்
Counter-speech,ஆயிரம் விளக்கு தொகுதி முஸ்லீம்கள் அதிகமாக இருக்கும் இடம் அங்கு ஒரு முஸ்லிமை வேட்பாளராக  நிறுத்துவதுதானே common sense..உடனே கமல்ஹாசனை B team என்கிரார்..மதுவந்தி விஷயத்தில் பேசியது சரி ஆனால் கமலை பற்றிய இந்த கணிப்பு தவறானது; ஏனென்றால் கமல் கட்சியில் விலகியவர்களிடம் இது போன்ற கேள்வி எழுப்பப்பட்போது யாரும் அதை ஏற்றுக்கொள்ளவில்லை.. கட்சியைவிட்டு விலகும்போது கூட இந்த விஷயத்தில் அவரை விட்டுக்கொடுக்காமலே பேசினார்கள்..
None-of-the-above,பிராமணன் என்று ஜாதி பேரை சொல்லலாமா ஏனென்றால் எங்க ஊரில் வெங்கட் அய்யர் வீதி இப்போ வெங்கட் வீதி -
Misandry,இல்லை என்றால் ஊம்ப போய்கிறாயா. எச்ச நோய்.
Misandry,அசிங்கமா ஏதாச்சும் கேட்டுடப்போறோம். வயசானவனாச்சேனு பாக்குறோம்.. மூடிட்டு போய்ட்டு ராஜா.. தமிழ்நாட்டுக்கு ஒரு நல்லது பண்ண துப்பில்லை.. தமிழ்நாட்டை விட்டு நீங்க கிளம்புயா முதல்ல..
None-of-the-above,திருவள்ளூர் மாவட்ட அரசு பள்ளி 28 வயது ஆங்கில ஆசிரியர் கோபிந்த் பகவான் இடமாற்றம் செய்ததை எதிர்த்து பள்ளி மாணவர்களும் பெற்றோர்களும் கண்ணீர்மல்க போராட்டம் நடத்தி அவரின் இடமாற்றத்தை நிறுத்த முயன்ற சம்பவமும் உண்டு. உயர்ந்த பள்ளி PSBB கேவலமும் உண்டு
None-of-the-above,நானும்  ஒரு Makeup Artist தான் ஆனால் பொருளாதாரசூழ்நிலை
None-of-the-above,மிகவும் நல்ல மனிதர் ஐயா சீனிவாசன்....
Xenophobia,இந்து மதத்தை வைத்து வாழும் ஈனபிறவி
None-of-the-above,ஆனந்த சீனிவாசன் சார் ராமசுப்புவின் சார் இருவருமே தர்மத்தை காப்பாற்ற கூடியவர்கள் வாழ்த்துக்கள்
None-of-the-above,nee naan aval நீ நான் அவள்  என்ன பன்றது பிள்ளைகளுக்காக சுயமறியாதை இழந்தோம்
None-of-the-above,உங்க வீட்டு பொன்ன நான் கூட்டு போனா என்ன செய்வ?
None-of-the-above,நடுநிலை என்பது கிடையவே கிடையாது..
None-of-the-above,ஏன் சார்  இதுக்கு அவரே  பரவாயில்லை போல.
Counter-speech,கடவுளை விமர்சிப்பதும் மனிதனை விமர்சிப்பதும் ஒன்றா? மேரி மாதாவை திட்டினால் சீமான் பேசாமலிருப்பாரா? கொலை செய்யுங்கள் என்று பேசுவதை ஒப்பிடலாமா? கொலை செய்யாத கூட்டத்திலா நெல்லை கண்ணன் பேசினார்? கோவை குண்டு வெடிப்பு மறந்து விட்டீர்களா? தமிழகத்திலும் கேரளாவிலும் இந்து என்ற ஒரே காரணத்திற்காக இந்த பத்தாண்டுகளிலேயே நூறுக்கும் மேற்பட்டவர்கள் கொல்லப்பட்டிருக்கிறார்கள். சீமான் நியாயம் கேட்கிறார்? இந்துக்கடவுள்களை திட்டி இப்போது அது எப்பவோ என்று சமாளித்தவர்
None-of-the-above,எல்லாமே முன்னாள் செய்த கர்மா தான்..
None-of-the-above,மரியாதை உங்கள் வளர்பில் தெரிகிறது
Misandry,எப்புடி அண்ணா சொல்ல வரீங்க சாராயம் குடிச்சுட்டு சுத்திகிட்டு இருக்கிறவனா
None-of-the-above,உன்னால்கூட பிராமணர்களுக்கே அவமானம். போவியா
Counter-speech,நிச்சயமாக இது ஜாதிய பிரச்னை தான். ; உண்மையில் தமிழ் நாடு முழுவதும் பல்வேறு பள்ளிகளில் இது போன்று சம்பவங்கள் நடந்தது.; இப்போதும் நடந்து வருகிறது.; அவை எல்லாவற்றையும் சேர்த்து ( இந்த பள்ளியையும்) கடுமையான நடவடிக்கை எடுக்க பட வேண்டும். ; அதுதான் நியாயம்.; ; இந்த பயல் மனிதனே கிடையாது. ; இதில் வேறு தன்னை பிராமணன் என்று அடையாளப்படுத்துகிறான்
None-of-the-above,இவன் H.ராஜா இல்ல
None-of-the-above,திரு ஆனந்த் சார்
None-of-the-above,ஜாதி தான் அரசு பணிகள் என்றால் வீசும் காற்றில் விஷம் பரவட்டும்!!!!!!
None-of-the-above,டேய்  எச்ச நாயே ...செருப்பலா அடிப்பேன்
None-of-the-above,ஐயா நீர் தான் நல்ல பிராமணன்.; நல்ல மனிதர். நன்றி.
None-of-the-above,நாயே எச்ச நாயே
Misandry,ராஜா சொன்னது என்னடா தப்பு.சொரி நாய் சீமன்.....
Hope-Speech,மிக அருமையாக சொன்னீர்கள்
None-of-the-above,உன்னை மாதிரி கேடு கேட்ட ஹிந்துக்களை தான் டா இணைக்கு கிறிஸ்துவின் ஹிந்துக்களின் மனைவியை விபச்சாரிகள் என்று சொல்றன் முஸ்லிம்கள் ஹிந்துக்களை கொல்றன். நானும் தான் இஸ்லாமிய நண்பர்களோடு பழகி இருக்கிறேன் இன்னும் சொல்ல போனால் இஸ்லாமிய நாட்டில் வாழ்ந்து கொண்டு இருக்கிறேன் எந்த இஸ்லாமியனும் ஹிந்துக்களை உளமார நண்பர்களாக ஏற்கவில்லை இறகு வந்து பார் உனக்கு அந்த வலி தெரியும். நெல்லவன் என்ற பெயரை எடுக்க வசனகள் பேசாதே. ஹைதராபாத்தில் ஓவசி பரத் மதகி ஜெய் என்று சொல்கின்றன???? ஏனென்றால் அது ஹிந்து கடவுளை போல் சித்தரிக்க பட்டு இருக்கிறது அதனால் அவனது போர்விகமே ஹிந்துக்கள் தான் மதம் மாறினால் அவன் அந்த மதத்திற்கு எவ்வளவு ஆதரவாக இருக்கிறான் அனால் ஹிந்துக்கள் உங்களுக்கு  மட்டும் ஏன் இந்த எச்சை தானம் ????
Hope-Speech,💔💔💔; 😭😭; இதை போன்று ஆயிரம் குறும்படம்; வந்தாலும் இந்த சமுதாயம் திருந்துவது கடினம் ; உங்கள் முயற்சிக்கு வாழ்த்துக்கள்🌹; தங்களை பாராட்டுகிறேன் 👏🏻👏🏻👏🏻; படக்குழு அனைவருக்கும் நன்றி 🙏🏻
Misogyny,இவழுகளுக்கு தனது பெண் உறுப்பு தான் விரிவு அடையும்......; ; இது தான் பெண் சுதந்திரம் விரிவாக்கம்....
None-of-the-above,ஏன்டா எச்ச
None-of-the-above,ஆனந்த்சீனிவாசன் அவா்களே கிாிஸ்தவ மிஷினாி நடத்தர பள்ளி கல்லுாிகளில் நடந்தபாலியல் புகாா்களுக்கு கருத்து வாய் திறப்பிா்களா
None-of-the-above,நம்மால் உணரமுடியாத உணர்வுகளெல்லாம் செயற்கையல்ல அதுவும் இயற்கையே கடவுளின் கலையில் இதுவும் ஒன்று
None-of-the-above,m .malathi  avarkal காலங்காலமாக இதை தான் செய்கிறார்கள்
